Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
14,tt15477488,2024-04-19,2024-04-19,,Farzi,Farzi,https://www.imdb.com/title/tt15477488/,TV Series,8.3,56.0,2023,"Crime, Drama, Thriller",54241,2023-02-10,,,
19,tt10168312,2024-04-19,2024-04-19,,What If...?,What If...?,https://www.imdb.com/title/tt10168312/,TV Series,7.3,32.0,2021,"Animation, Action, Adventure, Sci-Fi",158779,2021-08-11,,,
27,tt25375256,2024-04-20,2024-04-20,,The Signal,Das Signal,https://www.imdb.com/title/tt25375256/,TV Mini Series,6.0,62.0,2024,"Drama, Mystery, Sci-Fi, Thriller",8709,2024-03-07,,,
32,tt16351432,2024-04-27,2024-04-27,,Oats Studios,Oats Studios,https://www.imdb.com/title/tt16351432/,TV Series,6.3,20.0,2017,"Horror, Sci-Fi",5416,2017-01-01,,,
37,tt6486762,2024-05-11,2024-05-11,,The Continental,The Continental,https://www.imdb.com/title/tt6486762/,TV Mini Series,7.1,90.0,2023,"Action, Crime, Thriller",45701,2023-09-22,,,
43,tt17220216,2024-06-01,2024-06-01,,Monarch: Legacy of Monsters,Monarch: Legacy of Monsters,https://www.imdb.com/title/tt17220216/,TV Series,7.0,,2023,"Action, Adventure, Sci-Fi",52378,2023-11-17,,,
45,tt5165368,2024-06-10,2024-06-10,,Amazing Stories,Amazing Stories,https://www.imdb.com/title/tt5165368/,TV Series,6.3,52.0,2020,"Action, Adventure, Comedy, Drama, Fantasy, Mystery, Sci-Fi, Thriller",7983,2020-03-06,,,
46,tt19072562,2024-07-06,2024-07-06,,Kaala Paani,Kaala Paani,https://www.imdb.com/title/tt19072562/,TV Series,8.0,60.0,2023,"Drama, Thriller",11867,2023-10-18,,,
49,tt9319668,2024-07-11,2024-07-11,,1899,1899,https://www.imdb.com/title/tt9319668/,TV Series,7.3,60.0,2022,"Adventure, Drama, Thriller",121473,2022-11-17,,,
56,tt12262202,2024-08-11,2024-08-11,,The Acolyte,The Acolyte,https://www.imdb.com/title/tt12262202/,TV Series,4.3,40.0,2024,"Action, Adventure, Fantasy, Mystery, Sci-Fi, Thriller",140956,2024-06-04,,,
76,tt26656917,2025-05-11,2025-05-11,,The Agency: Central Intelligence,The Agency: Central Intelligence,https://www.imdb.com/title/tt26656917/,TV Series,7.4,60.0,2024,"Drama, Thriller",27747,2024-11-29,,,
81,tt19231492,2025-07-06,2025-07-06,,Dark Matter,Dark Matter,https://www.imdb.com/title/tt19231492/,TV Series,7.6,,2024,"Drama, Sci-Fi, Thriller",71794,2024-05-08,,,
86,tt31510819,2025-07-31,2025-07-31,,MobLand,MobLand,https://www.imdb.com/title/tt31510819/,TV Series,8.3,50.0,2025,"Crime, Drama",105481,2025-03-30,,,
97,tt27995114,2025-12-24,2025-12-24,,Dept. Q,Dept. Q,https://www.imdb.com/title/tt27995114/,TV Series,8.1,60.0,2025,"Crime, Drama, Mystery, Thriller",106171,2025-05-29,,,
101,tt2294189,2026-01-10,2026-01-10,Season 2 Completed,The Fall,The Fall,https://www.imdb.com/title/tt2294189/,TV Series,8.1,60.0,2013,"Crime, Drama, Thriller",130571,2013-05-12,,,
